INCI,Origine végétale,Autre origine,Remarque
Bisabolol,"Camomille, bois de candeia",Synthétique,Souvent synthétique sauf mention 'naturel'
Glycérine,Huiles végétales,Pétrochimie,Souvent végétale mais incertain sans contexte
Squalane,"Olive, canne à sucre","Foie de requin, synthétique",Vérifier la mention 'squalane végétal'
Acide citrique,Agrumes,Fermentation microbienne,Origine biotechnologique fréquente
Niacinamide,Sources alimentaires,Synthèse chimique,Rarement extrait de plantes
Acide hyaluronique,Anciennement d'origine animale,Fermentation biotechnologique,Majoritairement issu de biotech aujourd’hui
Panthénol,Provitamine B5 (plantes),Synthétique,Souvent synthétique dans les cosmétiques
Triglycéride caprylique/caprique,Noix de coco + glycérine,Synthèse chimique,Ester d’origine végétale mais transformé
Tocophérol,Huiles végétales,Synthétique,Naturel si mention 'tocophérols mixtes'
Gluconolactone,Fermentation du maïs,Biotechnologie,D’origine naturelle via biotech
Ferments (ex. radis),Substrat végétal,Fermentation biotechnologique,"Catégorie à part, naturelle mais indirecte"
